second,Volt,Volt
x-axis,1,2
+660.938E-06,+2.405814320E+00,+2.513569E-03
+662.500E-06,+2.353070602E+00,+2.513569E-03
+664.063E-06,+2.300326884E+00,+968.343E-06
+665.625E-06,+2.300326884E+00,+2.513569E-03
+667.188E-06,+2.194839448E+00,+2.513569E-03
+668.750E-06,+2.194839448E+00,+865.328E-06
+670.313E-06,+2.142095730E+00,+865.328E-06
+671.875E-06,+2.142095730E+00,+865.328E-06
+673.438E-06,+2.036608294E+00,+968.343E-06
+675.000E-06,+2.036608294E+00,+2.513569E-03
+676.563E-06,+1.983864576E+00,+968.343E-06
+678.125E-06,+1.931120858E+00,+2.513569E-03
+679.688E-06,+1.878377140E+00,+2.513569E-03
+681.250E-06,+1.825633422E+00,+2.513569E-03
+682.813E-06,+1.825633422E+00,+968.343E-06
+684.375E-06,+1.772889704E+00,+2.513569E-03
+685.938E-06,+1.772889704E+00,+968.343E-06
+687.500E-06,+1.720145985E+00,+2.513569E-03
+689.063E-06,+1.667402267E+00,+2.513569E-03
+690.625E-06,+1.614658549E+00,+2.513569E-03
+692.188E-06,+1.614658549E+00,+968.343E-06
+693.750E-06,+1.561914831E+00,+2.513569E-03
+695.313E-06,+1.509171113E+00,+968.343E-06
+696.875E-06,+1.509171113E+00,+2.513569E-03
+698.438E-06,+1.456427395E+00,+968.343E-06
+700.000E-06,+1.403683677E+00,+2.513569E-03
+701.563E-06,+1.350939959E+00,+968.343E-06
+703.125E-06,+1.350939959E+00,+2.513569E-03
+704.688E-06,+1.298196241E+00,+968.343E-06
+706.250E-06,+1.245452523E+00,+2.513569E-03
+707.813E-06,+1.245452523E+00,+2.513569E-03
+709.375E-06,+1.192708805E+00,+968.343E-06
+710.938E-06,+1.143261570E+00,+2.513569E-03
+712.500E-06,+1.192708805E+00,+2.513569E-03
+714.063E-06,+1.087221369E+00,+2.513569E-03
+715.625E-06,+1.034477651E+00,+2.513569E-03
+717.188E-06,+1.034477651E+00,+2.513569E-03
+718.750E-06,+981.733933E-03,+2.513569E-03
+720.313E-06,+981.733933E-03,+2.513569E-03
+721.875E-06,+981.733933E-03,+968.343E-06
+723.438E-06,+876.246497E-03,+2.513569E-03
+725.000E-06,+876.246497E-03,+968.343E-06
+726.563E-06,+876.246497E-03,+2.513569E-03
+728.125E-06,+823.502779E-03,+865.328E-06
+729.688E-06,+823.502779E-03,+865.328E-06
+731.250E-06,+770.759061E-03,+865.328E-06
+732.813E-06,+770.759061E-03,+968.343E-06
+734.375E-06,+718.015343E-03,+2.513569E-03
+735.938E-06,+665.271625E-03,+2.513569E-03
+737.500E-06,+665.271625E-03,+2.513569E-03
+739.063E-06,+665.271625E-03,+865.328E-06
+740.625E-06,+612.527907E-03,+968.343E-06
+742.188E-06,+612.527907E-03,+2.513569E-03
+743.750E-06,+612.527907E-03,+2.513569E-03
+745.313E-06,+559.784189E-03,+865.328E-06
+746.875E-06,+507.040471E-03,+968.343E-06
+748.438E-06,+507.040471E-03,+2.513569E-03
+750.000E-06,+454.296753E-03,+2.513569E-03
+751.563E-06,+454.296753E-03,+2.513569E-03
+753.125E-06,+401.553035E-03,+2.513569E-03
+754.688E-06,+401.553035E-03,+2.513569E-03
+756.250E-06,+401.553035E-03,+2.513569E-03
+757.813E-06,+401.553035E-03,+2.513569E-03
+759.375E-06,+348.809317E-03,+2.513569E-03
+760.938E-06,+299.362081E-03,+2.513569E-03
+762.500E-06,+348.809317E-03,+2.513569E-03
+764.063E-06,+296.065599E-03,+968.343E-06
+765.625E-06,+296.065599E-03,+2.513569E-03
+767.188E-06,+296.065599E-03,+2.513569E-03
+768.750E-06,+243.321881E-03,+2.513569E-03
+770.313E-06,+190.578163E-03,+2.513569E-03
+771.875E-06,+190.578163E-03,+2.513569E-03
+773.438E-06,+190.578163E-03,+865.328E-06
+775.000E-06,+190.578163E-03,+968.343E-06
+776.563E-06,+137.834445E-03,+2.513569E-03
+778.125E-06,+137.834445E-03,+2.513569E-03
+779.688E-06,+137.834445E-03,+2.513569E-03
+781.250E-06,+85.090727E-03,+865.328E-06
+782.813E-06,+85.090727E-03,+865.328E-06
+784.375E-06,+85.090727E-03,+865.328E-06
+785.938E-06,+85.090727E-03,+865.328E-06
+787.500E-06,+35.643491E-03,+865.328E-06
+789.063E-06,+85.090727E-03,+865.328E-06
+790.625E-06,+32.347009E-03,+865.328E-06
+792.188E-06,+32.347009E-03,+865.328E-06
+793.750E-06,+32.347009E-03,-782.913E-06
+795.313E-06,+32.347009E-03,-679.898E-06
+796.875E-06,+32.347009E-03,+865.328E-06
+798.438E-06,+32.347009E-03,+865.328E-06
+800.000E-06,-20.396709E-03,-782.913E-06
+801.563E-06,-20.396709E-03,-782.913E-06
+803.125E-06,-20.396709E-03,-679.898E-06
+804.688E-06,-20.396709E-03,+865.328E-06
+806.250E-06,-20.396709E-03,-782.913E-06
+807.813E-06,-73.140427E-03,-782.913E-06
+809.375E-06,-73.140427E-03,-782.913E-06
+810.938E-06,-73.140427E-03,-782.913E-06
+812.500E-06,-73.140427E-03,-679.898E-06
